facility_id,facility_name,zipcode,program_type,n_f,x_added,u_under5_added,delta_triggered,expansion_cost,under5_equipment_cost_expansion
866851,"Imogen Roche Foundation, Inc.",10016,SACC,480.0,500.0,500.0,1,120833.33333333331,50000.0
901628,Yeshivath Kehilath Yakov,11218,SACC,491.0,500.0,500.0,1,120366.59877800407,50000.0
628268,YMCA @ P.S. 48Q,11433,SACC,426.0,500.0,500.0,1,123474.17840375588,50000.0
476936,Maspeth Town Hall After School at PS49/IS49,11379,SACC,487.0,500.0,500.0,1,120533.88090349076,50000.0
338319,"MASPETH  TOWN HALL, INC.",11377,SACC,480.0,500.0,500.0,1,120833.33333333331,50000.0
74148,MASPETH TOWN HALL PS 229,11377,SACC,535.0,500.0,500.0,0,125000.0,50000.0
922382,"Kweller, Frances",11374,SACC,516.0,500.0,500.0,0,125000.0,50000.0
899373,South Asian Youth Action (SAYA),11373,SACC,438.0,500.0,500.0,1,122831.05022831049,50000.0
121475,LATCH AFTERSCHOOL PROGRAM AT P.S. 89Q,11373,SACC,720.0,500.0,500.0,0,125000.0,50000.0
74233,SAMUEL FIELD Y/BAY TERRACE BEACON JHS 216,11365,SACC,440.0,500.0,500.0,1,122727.27272727272,50000.0
