facility_id,facility_name,zipcode,program_type,n_f,x_added,u_under5_added,delta_triggered,selected_cost_regime,expansion_cost,total_facility_related_cost
866851,"Imogen Roche Foundation, Inc.",10016,SACC,480.0,500.0,500.0,1,high_cost_rule,120833.33333333331,170833.3333333333
901628,Yeshivath Kehilath Yakov,11218,SACC,491.0,500.0,500.0,1,high_cost_rule,120366.59877800407,170366.59877800406
628268,YMCA @ P.S. 48Q,11433,SACC,426.0,500.0,500.0,1,high_cost_rule,123474.17840375588,173474.17840375588
476936,Maspeth Town Hall After School at PS49/IS49,11379,SACC,487.0,500.0,500.0,1,high_cost_rule,120533.88090349076,170533.88090349076
338319,"MASPETH  TOWN HALL, INC.",11377,SACC,480.0,500.0,500.0,1,high_cost_rule,120833.33333333331,170833.3333333333
74148,MASPETH TOWN HALL PS 229,11377,SACC,535.0,500.0,500.0,0,low_cost_rule,125000.0,175000.0
922382,"Kweller, Frances",11374,SACC,516.0,500.0,500.0,0,low_cost_rule,125000.0,175000.0
899373,South Asian Youth Action (SAYA),11373,SACC,438.0,500.0,500.0,1,high_cost_rule,122831.05022831049,172831.0502283105
121475,LATCH AFTERSCHOOL PROGRAM AT P.S. 89Q,11373,SACC,720.0,500.0,500.0,0,low_cost_rule,125000.0,175000.0
74233,SAMUEL FIELD Y/BAY TERRACE BEACON JHS 216,11365,SACC,440.0,500.0,500.0,1,high_cost_rule,122727.27272727272,172727.2727272727
74234,Samuel Field YM & YWHA / TASC @ M.S. 158,11361,SACC,435.0,500.0,500.0,1,high_cost_rule,122988.50574712644,172988.50574712644
823212,Modern Chinese School,11355,SACC,460.0,500.0,500.0,1,high_cost_rule,121739.1304347826,171739.1304347826
709859,NIA Community Services Network @ IS 98,11235,SACC,444.0,500.0,500.0,1,high_cost_rule,122522.5225225225,172522.5225225225
905401,"87 Afterschool, Inc.",10024,SACC,540.0,500.0,500.0,0,low_cost_rule,125000.0,175000.0
112885,ONE WORLD AFTER SCH PS 186,11214,SACC,466.0,500.0,500.0,1,high_cost_rule,121459.22746781116,171459.22746781114
661155,"New York Center for Interpersonal Development, Inc. @ PS 48",10304,SACC,437.0,500.0,500.0,1,high_cost_rule,122883.295194508,172883.29519450798
886512,WildArts Inc.,10025,SACC,560.0,500.0,500.0,0,low_cost_rule,125000.0,175000.0
709901,"Harlem Children's Zone, Inc. Promise Academy 1 After School",10027,SACC,443.0,500.0,500.0,1,high_cost_rule,122573.36343115124,172573.36343115123
73664,The Children's Aid Society @IS 90,10032,SACC,486.0,500.0,500.0,1,high_cost_rule,120576.1316872428,170576.1316872428
889892,"Imogen Roche Foundation, Inc.",10065,SACC,469.0,500.0,500.0,1,high_cost_rule,121321.96162046908,171321.96162046908
