zipcode,added_total_capacity,added_total_expansion,added_total_newbuild,added_under5_capacity,existing_total,req_total,final_total_capacity,existing_under5,req_under5,final_under5_capacity
11219,11472.0,2672.0,8800.0,7072.0,2595.0,13374,14067.0,1012.0,8084,8084.0
11230,9167.0,767.0,8400.0,4967.0,824.0,5803,9991.0,312.0,5279,5279.0
11223,7084.0,1484.0,5600.0,4284.0,1448.0,7741,8532.0,144.0,4428,4428.0
11368,6564.0,2964.0,3600.0,4761.0,3057.0,9621,9621.0,502.0,5263,5263.0
11220,6093.0,1693.0,4400.0,3459.0,2251.0,8344,8344.0,396.0,3855,3855.0
11249,5887.0,287.0,5600.0,3087.0,315.0,3204,6202.0,96.0,3183,3183.0
11206,5644.0,3244.0,2400.0,4444.0,3233.0,8618,8877.0,358.0,4802,4802.0
11204,5574.0,3174.0,2400.0,4374.0,3192.0,8683,8766.0,432.0,4806,4806.0
10314,5557.0,1157.0,4400.0,3357.0,1654.0,4624,7211.0,156.0,3513,3513.0
11205,5232.0,832.0,4400.0,3032.0,918.0,3711,6150.0,136.0,3168,3168.0
11208,4760.0,3960.0,800.0,4300.0,5054.0,9814,9814.0,1218.0,5518,5518.0
11691,4432.0,2432.0,2000.0,3307.0,2880.0,7312,7312.0,725.0,4032,4032.0
10024,4324.0,1124.0,3200.0,2724.0,1243.0,2857,5567.0,90.0,2814,2814.0
11385,4316.0,2716.0,1600.0,3408.0,2974.0,7290,7290.0,610.0,4018,4018.0
11214,4185.0,2585.0,1600.0,3254.0,2498.0,6683,6683.0,233.0,3487,3487.0
