zipcode,employment_rate
10001,0.5950970226633091
10002,0.5206618050654748
10003,0.4972437218107912
10004,0.5066608429788163
10005,0.6658334280195433
10006,0.6316916488222698
10007,0.528910205169198
10009,0.5145674278475812
10010,0.4927491514964517
10011,0.5569999212164185
10012,0.5382730015082956
10013,0.4861983499134213
10014,0.6086012015885408
10016,0.5652117934852582
10017,0.7773022228358415
10018,0.757593255572237
10019,0.6170789879811065
10021,0.5418040450765218
10022,0.5698803072708867
10023,0.5057376799683438
10024,0.4603816866855704
10025,0.4391264898750361
10026,0.4513262772768849
10027,0.3941889797282922
10028,0.5260625150381696
10029,0.4520326923585579
10030,0.4055264167839325
10031,0.4465631347880217
10032,0.4551917989417989
10033,0.4276881674643593
10034,0.4544142410392109
10035,0.3839875631558492
10036,0.5719366311024895
10037,0.5026648552617828
10038,0.5059332562224221
10039,0.4219225750326228
10040,0.4673218335509587
10044,0.3992908998818166
10065,0.491266729317217
10069,0.519252276721521
10075,0.5635451505016722
10128,0.5517241379310345
10162,0.4990151017728168
10280,0.4692977496324776
10282,0.3286821705426356
10301,0.4564726885026406
10302,0.4766521247374374
10303,0.4733596721190414
10304,0.4645149786019971
10305,0.496553031200398
10306,0.5132309005548442
10307,0.4662826160623517
10308,0.4721529509559434
10309,0.4602763385146804
10310,0.4500933724608407
10312,0.4781560663589242
10314,0.448836839595146
10451,0.4843016117401726
10452,0.4703398453398453
10453,0.4718542016545375
10454,0.389063374966523
10455,0.4238395673726904
10456,0.4558848433530906
10457,0.4239698309883859
10458,0.4262318875638017
10459,0.4231775844815642
10460,0.4476040900888859
10461,0.4883227176220807
10462,0.508481160170918
10463,0.4826732673267326
10464,0.5009319664492078
10465,0.4288398004793677
10466,0.4438725388457654
10467,0.459412640685624
10468,0.445348108652653
10469,0.4493334446578164
10470,0.4899285250162443
10471,0.4347256204124432
10472,0.4482024416770063
10473,0.4711501655932231
10474,0.4441489361702128
10475,0.5172691132201209
11004,0.4330658514838874
11005,0.671264367816092
11101,0.7491467078969631
11102,0.7052347704015663
11103,0.570614640883978
11104,0.5423363896209956
11105,0.494375064506141
11106,0.5358475546047067
11109,0.4807692307692308
11201,0.5013260698157839
11203,0.4558887218811301
11204,0.4242010549177785
11205,0.3720264711142908
11206,0.4193487420649479
11207,0.4408012313922377
11208,0.4160658162322055
11209,0.4763827772517128
11210,0.4523381578532463
11211,0.4857199554273328
11212,0.4430635906959027
11213,0.4152984912701971
11214,0.462905854883475
11215,0.4547726830893993
11216,0.4627002068202587
11217,0.4818213497502613
11218,0.450639679205652
11219,0.3723329323927484
11220,0.5679081369344573
11221,0.4477399272217107
11222,0.5795151605750305
11223,0.4192827630971253
11224,0.4267847075773077
11225,0.5012312743689719
11226,0.5098314745727489
11228,0.4751561227260386
11229,0.4655463635354893
11230,0.4063383012909302
11231,0.4365293981302635
11232,0.4392792408572342
11233,0.3807518796992481
11234,0.4677914110429448
11235,0.4909171893245374
11236,0.4596231090505785
11237,0.496789097768264
11238,0.5390459455269007
11239,0.4854831032841504
11354,0.5967660339884956
11355,0.6658280394993396
11356,0.4885639837869137
11357,0.4900448681996635
11358,0.5471883549818046
11360,0.5198032354581875
11361,0.4867316544814514
11362,0.4938673613372408
11363,0.4738628649015614
11364,0.4876193473927185
11365,0.4822936412200586
11366,0.5124826121970861
11367,0.4481818601857413
11368,0.4437250554323725
11369,0.5789849892780558
11370,0.4974435449510013
11372,0.5135744242623245
11373,0.5095597263637959
11374,0.4956595384289646
11375,0.4668138063075041
11377,0.5281856122883061
11378,0.4652229299363057
11379,0.4754188337994302
11385,0.4682480264591882
11411,0.487130198321534
11412,0.4769295198679575
11413,0.4780067808708065
11414,0.44017910054652
11415,0.4636967757814423
11416,0.4695257969345902
11417,0.5
11418,0.4809875512174753
11419,0.5326846307385229
11420,0.4770003714347154
11421,0.504909510974201
11422,0.5034679217240525
11423,0.50867283847465
11426,0.4814270511326204
11427,0.4696867431611545
11428,0.5098701033036719
11429,0.4711797450170587
11432,0.4386319785896558
11433,0.4464170847806509
11434,0.4823853803056525
11435,0.4519604409532863
11436,0.4730900744765562
11691,0.3319832302991544
11692,0.369752684672958
11693,0.4300044254314795
11694,0.4071048283458784
11697,0.6183476938672073
